STATISTIC,Statistic Label,Month,month_date,Meteorological Weather Station,UNIT,VALUE,latitude,longitude
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Clones,Number,101.00,54.195,-7.234
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Dublin airport,Number,112.10,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Kilkenny,Number,98.50,52.651,-7.256
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Malin head,Number,127.90,55.385,-7.378
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Mullingar,Number,107.80,53.525,-7.340
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Roches Point,Number,114.30,51.785,-8.252
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Rosslare,Number,125.80,52.261,-6.331
MTM03C1,Total Sunshine Hours,1959M03,1959-03-01,Shannon airport,Number,106.30,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Belmullet,Number,148.70,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Birr,Number,138.30,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Valentia Observatory,Number,143.00,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Claremorris,Number,131.10,53.719,-9.006
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Clones,Number,132.00,54.195,-7.234
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Dublin airport,Number,152.90,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Kilkenny,Number,132.10,52.651,-7.256
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Malin head,Number,159.60,55.385,-7.378
